code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sh.600007,2016-04-30,2016-03-31,0.030730,0.308758,0.545394,176379526.000000,0.647282,,1007282534.00,1007282534.00
sh.600000,2024-04-30,2024-03-31,0.023738,0.389605,,17660000000.000000,1.304571,,29352177224.00,29352177224.00
sh.600006,2019-04-27,2019-03-31,0.016114,0.035536,0.137962,110759818.670000,0.270192,,2000000000.00,2000000000.00
sh.600008,2019-04-30,2019-03-31,0.006575,0.046398,0.346203,113581832.750000,0.131743,,5685448207.00,4820614124.00
sh.600007,2019-04-30,2019-03-31,0.034795,0.286572,0.538017,245235193.000000,0.812110,,1007282534.00,1007282534.00
sh.600007,2020-04-30,2020-03-31,0.026579,0.279294,0.538037,203898623.000000,0.924579,,1007282534.00,1007282534.00
sh.600008,2020-04-30,2020-03-31,0.005513,0.036992,0.315978,108255479.590000,0.168927,,5685448207.00,5685448207.00
sh.600006,2022-04-30,2022-03-31,0.014685,0.033686,0.102723,120854603.710000,0.108639,,2000000000.00,2000000000.00
sh.600008,2023-04-28,2023-03-31,0.011510,0.099002,0.338797,429892141.190000,0.431029,,7340590677.00,7340590677.00
sh.600007,2022-04-29,2022-03-31,0.030518,0.296471,0.568882,267770861.000000,1.046126,,1007282534.00,1007282534.00
sh.600007,2025-04-30,2025-03-31,0.031757,0.327963,0.589251,311596512.000000,1.228383,,1007282534.00,1007282534.00
sh.600010,2018-04-27,2018-03-31,0.012827,0.048944,0.183208,635619393.970000,0.054853,,45585032648.00,22038833821.00
